Código,Título,Resumo,Temário,Modalidade aprovada,Inscrição responsável,Autores
74730,CHARACTERIZATION OF THE NIGROSTRIATAL SYSTEM IN A SAMPLE OF PATIENTS WITH AMYOTROPHIC LATERAL SCLEROSIS,"Introduction: The coexistence of ALS with clinical forms of parkinsonism although uncommon is found to a greater degree than would explain mere chance. This suggests that patients with ALS may have subclinical lesions of the nigrostriatal system. The pathological mechanisms of ALS and PD are still not fully understood and the coexistence of these two diseases suggests that they could share mechanisms in common. Here we present a sample of patients with clinically definitive or probable ALS who were evaluated with SPECT/TRODAT and compere with non-ALS controls. Objective: Evaluate alterations of the nigrostriatal system in patients with ALS by performing SPECT-TRODAT imaging Methods: Patients with clinically definite or probable ALS were selected from the of neuromuscular diseases service of the HISCMPA. A total of 8 patients entered the study. Patients were assessed with the ALSFRS scale to define severity and collected demographic data. All patients underwent NES evaluation with TRODAT. TRODAT results of patients with ALS were compared against those of patients from the movement disorders service with a diagnosis of PD less than 10 years of duration, and against patients from the same ambulatory with diagnosis of movement disorders not associated with neurodegenerative diseases. Results: 8 patients with ALS were evaluated, 4 clinically definite and 4 probable, ages between 29 - 75 years (SD 16.09, Mean 57.9). Non-neurodegenerative diseases patients with diagnoses of essential tremor 7, drug-induced parkinsonism 6, Psychogenic tremor 2 and Neurolues 1 were used as controls and 16 patients with PD less than 10 years of duration. A total of 75% of patients with ALS had TRODAT results below the levels considered normal (Values less than 1,1), 25% in the control group without neurodegenerative disease and 100% in the PD group. A statistically significant difference was found between patients with ALS and the control group without neurodegenerative disease in the TRODAT values <0.05. Conclusions: Our study fits with the neuropathological and functional evidence that demonstrates the existence of nigrostriatal dysfunction in patients with ALS. Further research to better understand the role of these changes in the pathophysiological process of ALS needs to be performed.",Doenças do Neurônio Motor  Esclerose Lateral Amiotrófica,Aprovado para Apresentação Oral ,DOUGLAS TOMIO NAKATA,"CLAUDIO ALEJANDRO JIMENEZ MONSALVE / MONSALVE, C. A. J. / UFCSPA e ISCMPA; DOUGLAS TOMIO NAKATA / Nakata, D. T. / UFCSPA e ISCMPA; FRANCISCO TELLECHEA ROTTA / Rotta, F. T. / ISCMPA; CARLOS ROBERTO DE MELLO RIEDER / RIEDER, C. R. M. / UFCSPA E ISCMPA; Fernando Gustavo Stelzer / STELZER, F. G. / UFCSPA e ISCMPA;"
75220,DISTINCT PATTERNS OF CEREBELLAR DAMAGE IN SPORADIC AND C9ORF72-RELATED ALS,"Background: Mounting evidence shows that ALS-related brain damage extends beyond pyramidal tracts and primary motor cortex. Some pathological reports found cerebellar abnormalities in ALS patients. Despite that, no analysis in vivo was performed yet to assess cerebellar involvement in sporadic and genetic forms of the disease. Objective: to assess whether the cerebellum is affected in ALS as well as to compare the pattern of cerebellar damage between sporadic and C9orf72-related ALS. Methods: We have studied 9 symptomatic C9orf72 ALS patients (5 men, mean age 50 yo), 9 symptomatic sporadic ALS patients (3 men, mean age 50.4 yo) and 9 gender and age-matched healthy controls (4 men, mean age 50.8 yo). All patients were regularly followed at UNICAMP or USP-Ribeirão Preto and signed informed consent forms. They underwent MRI scanning on a 3T device and high resolution 3D T1 images were used for volumetric analyses. For every subject, we used the pipeline CERES to compute grey matter volumes of the different cerebellar lobules. Between-group comparisons were carried out using the non-parametric test Mann-Whitney. FDR-corrected p-values <0.05 were considered significant. Results: Both sporadic and C9orf72-related ALS had cerebellar damage compared to controls. However, their patterns of grey matter atrophy were distinct. Sporadic ALS patients had smaller volumes at left lobules I-II and right lobule VI compared to controls (p=0.019 and 0.046, respectively). In contrast, C9orf72-related ALS group presented only left sided lobule X atrophy in comparison to controls (p=0.037). Direct comparison of sporadic vs C9orf72-ALS revealed smaller volumes for left lobules I-II in the former group (p=0.046). Conclusion: This exploratory study reveals not only that the cerebellum is affected in ALS, but also that the pattern of damage is distinct in sporadic and C9orf72-related ALS. It remains to be investigated what the clinical correlates of such damage are, especially cognitive and/or behavioural manifestations.",Doenças do Neurônio Motor  Esclerose Lateral Amiotrófica,Aprovado para Apresentação Oral ,PAULA NOCITO REBELLO,Paula Nocito Rebello / Rebello PN / UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP; Thiago Junqueira R. de Rezende / de Rezende TJR / UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP; Lucas de Melo Teixeira Branco / Branco LMT / UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP; Marcondes Cavalcante França Junior / França MC Jr / UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP; Antonio Carlos dos Santos / dos Santos AC / UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO - USP-RP; Wilson Marques Jr / Marques W Jr / UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO - USP-RP;
73414,LARYNGEAL ELECTROMYOGRAPHY IN PATIENTS WITH AMIOTROPHIC LATERAL SCLEROSIS (ALS): PRELIMINARY RESULTS,"INTRODUCTION: Amyotrophic Lateral Sclerosis (ALS) is the most relevant motor neuron disease in adults and characterized by widespread weakness. Despite frequent bulbar involvement, little is known about clinical and electrophysiological changes in the larynx in patients with ALS. OBJECTIVE: To evaluate the frequency and pattern of involvement of laryngeal muscles in ALS and its functional relevance. In addition, we assessed whether laryngeal EMG (LEMG) would increase the diagnostic sensitivity for ALS. METHODS: Twenty five ALS patients, 24 with spinal onset and 1 with bulbar onset, underwent nasofibroscopy (NF) followed by LEMG, in which a concentric needle was used to evaluate the thyroid-arytenoid (TA), lateral crico-arytenoid (CAL), posterior crico-arytenoid (CAP) and crico-thyroid (CT) muscles, at rest and during activation. After LEMG, resting and activation of the genioglossus and masseter muscles were also studied using the same concentric needle. RESULTS: The mean age of the patients was 54,2 years and there were 11 women. The procedures were fast (30 minutes on average) and uneventful. Twenty three patients presented neurogenic changes in at least one laryngeal muscle. Only two patients had entirely normal LEMG. We found a pattern compatible with chronic denervation (MUAPs remodeling and incomplete recruitment) with the following frequency: TA muscle in 18/25 patients (72%); CT in 16/25 patients (64%); CAP in 13/25 patients (52%) and CAL in 13/25 patients (52%). In 14 patients, there were fibrillations and / or fasciculations associated with chronic neurogenic changes in the same muscle; of these, 7 had no alteration in the genioglossus muscle and 2 had only chronic alterations in the same muscle. We found no patients with tongue neurogenic changes and normal LEMG. NF revealed motor abnormalities in the larynx in 15 patients; in the remaining 10, NF was normal but LEMG identified signs of denervation in 9 of them. CONCLUSIONS: LEMG is able to identify laryngeal denervation in patients with ALS. This procedure may increase diagnostic sensitivity for ALS by identifying bulbar involvement in patients without tongue denervation. Changes in LEMG may precede clinical involvement of the larynx in these patients.",Doenças do Neurônio Motor  Esclerose Lateral Amiotrófica,Aprovado para Apresentação Oral ,MELINA PAZIAN MARTINS,"MELINA PAZIAN MARTINS / Martins, M. P. / UNICAMP; Tauana Bernardes Leoni / Leoni, TB / UNICAMP; Fabricio Diniz / Diniz, F / UNICAMP; Alberto Rolim Muro Martinez / Martinez, ARM / UNICAMP; Agrício Nubiato Crespo / Crespo, AN / UNICAMP; Paulo André Teixeira Kimaid / Kimaid, PAT / UNICAMP; Anamarli Nucci / Nucci, A / UNICAMP; Marcondes Cavalcante França Junior / França Jr, MC / UNICAMP;"
73760,"CLINICAL, GENETIC AND NEURORRADIOLOGICAL PROFILE OF PATIENTS WITH PURE AND COMPLICATED PEDIATRIC-ONSET HEREDITARY SPASTIC PARAPLEGIA","Introduction: Hereditary spastic paraplegia (HSP) is a rare group of inherited disorders with overall prevalence of 1 to 10 per 100,000 and is characterized by progressive degeneration of the corticospinal tracts. The HSPs are differentiated into pure forms if the only clinical finding is bladder dysfunction and spastic paraparesis, and complicated if there are additional neurologic or systemic abnormalities. Objective: To study the clinical, genetic and neuroradiological profile of pure and complicated SPG with symptom onset in the pediatric age group (0-18 years old). Methods: Evaluation of clinical, neuroimaging and genetic findings within a group of 22 patients with symptoms beginning between 0 and 18 years old. Results: Forms: 10 patients presented with pure forms and 12 patients with complicated forms. 8 had a negative family history for neuromuscular or neuropsychiatric disorders; Age of onset: between 0-17 years. 2 before the first year of life (SPG4, SPG3A), 4 infants (<2 years), 8 preschoolers and schoolchildren (3-11 years), 8 adolescents (12 -18 years); Average age: 8.6 years; Gender: 10 male, 12 female; Genetic profile: 11 patients had a defined genetic diagnosis of SPG4, 2 with SPG3A, 3 of SPG11, 1 of SPG7, 1 of HSP associated with the RNASEH2B gene and 4 patients have still undetermined forms after complete exome sequencing (two with pure forms and one with ataxia and axonal neuropathy). 2 where identified with new variants in the SPAST gene. Complicating factors: optic atrophy (n=5), autistic spectrum and language disorder (n=4), cerebellar ataxia (n=4), sensorineural deafness (n=3), polyneuropathy (n=3), motor neuronopathy (n=2), systemic autoimmune context (RNASEH2B) (n=1). Neuroimaging: thinning of the corpus callosum (n=4; 3 SPG11, 1 SPG3A), the ""Ears of the Lynx sign (n=3), mild hyperintense corticospinal tract (n=16); subtle signal abnormalities of white matter (n=2; SPG11, RNASEH2B). Electroneuromyography: marked chronic axonal sensory-motor polyneuropathy (n=3; 2 SPG3A, 1 SPG11), chronic pure motor neuronopathy (2 SPG11) Conclusion: Although spastic paraparesis and urinary dysfunction represent the most common clinical presentation, a complex group of neurological and systemic compromise has been recognized recently and a growing number of new genetic subtypes were described in the last decade. We identified in our study 2 new pathogenic variants of the SPAST gene and a wide variety of complications in childhood-onset cases",Doenças Neuromusculares,Aprovado para Apresentação Oral ,IGOR BRAGA FARIAS,"IGOR BRAGA FARIAS / Farias, I. B. / UNIFESP; Igor Braga Farias / Farias, I.B. / UNIFESP; Wladimir Bocca Vieira de Rezende Pinto / Pinto, W.B.V.R. / UNIFESP; Bruno de Mattos Lombardi Badia / Badia, B.M.L. / UNIFESP; Luiz Henrique Libardi Silva / Silva, L.H.L. / UNIFESP; Marco Antônio Troccoli Chieia / Chieia, M.A.T. / UNIFESP; Paulo Victor Sgobbi de Souza / Souza, P.V.S. / UNIFESP; Acary Souza Bulle Oliveira / Oliveira, A.S.B. / UNIFESP;"
73049,COENZYME Q10 DEFICIENCY IN SKELETAL MUSCLE FROM PATIENTS WITH DUCHENNE MUSCULAR DYSTROPHY,"Duchenne muscular dystrophy (DMD) is a hereditary, degenerative and progressive skeletal muscle disease. It is caused by the absence of the protein dystrophin and is characterized by progressive loss of muscle strength and deterioration of functional capacity. Abnormalities in the regulation of calcium homeostasis, proteolysis and energy metabolism, especially mitochondrial dysfunction, are part of the pathogenesis of the disease. Coenzyme Q10 (CoQ10), a potent antioxidant that participates in respiratory chain activity, has been used in clinical trials, however, there are no studies showing its involvement in DMD. The purpose of this study was to investigate CoQ10 in skeletal muscle from patients with DMD in relation to the proportion of muscle fiber loss in the biopsies and the activities of the respiratory chain enzymes. We studied 22 muscle biopsies from patients with DMD and ten muscle biopsies from controls. The concentration of CoQ10 was measured using the reverse phase high performance liquid chromatography technique. Activities of the respiratory chain enzymes were measured by spectrophotometry. The mean age of patients with DMD was 6.9 years (SD± 2.4; range 1.9 to 11.8 years) and of controls was 8 years (SD± 2.69; range 4 to 12 years). The mean CoQ10 content in fragments from patients with DMD was 8.6 μg / g tissue (SD± 3.9) and in fragments from controls was 31.6 μg / g tissue (SD± 6.9), indicating a significant decrease of CoQ10 in muscle biopsies of patients with DMD (p<0.001). The mean area occupied by muscle fibers in patients with DMD was 27.3% (SD± 14.2%) and in controls was 89.2% (SD± 3.3%). There was a high correlation between the amount of CoQ10 and the relative area occupied by muscle fibers (r= 0.767 and p= 0.016). The activities of respiratory chain enzymes from patients with DMD were not deficient. On the other hand, the results of the combined analysis of complexes II + III, for which the presence of CoQ10 is essential, were significantly reduced in patients with DMD. The response of the activity of complexes II + III to the addition of CoQ10 to the enzymatic assay (recovery rate) was significantly higher in samples from patients with DMD than in samples from controls. In the present study, we demonstrate that there is a significant deficiency of CoQ10 in muscle from patients with DMD. This knowledge contributes for our understanding of DMD physiopathology and is relevant for therapy.",Doenças Neuromusculares,Aprovado para Apresentação Oral ,LARISSA DE OLIVEIRA OKAMA,"LARISSA DE OLIVEIRA OKAMA / Okama, L. O. / UNIVERSIDADE DE SÃO PAULO; SILVIA HELENA ANDRIÃO ESCARSO / Escarso, S. H. A. / UNIVERSIDADE DE SÃO PAULO; DANIEL AUGUSTO CARVALHO MARANHO / Maranho, D. A. C. / UNIVERSIDADE DE SÃO PAULO; JOSÉ BATISTA VOLPON / Volpon, J. B. / UNIVERSIDADE DE SÃO PAULO; MICHIO HIRANO / Hirano, M. / COLUMBIA UNIVERSITY; CLÁUDIA FERREIRA DA ROSA SOBREIRA / Sobreira, C. F. R. / UNIVERSIDADE DE SÃO PAULO;"
72972,EXPANDING THE PHENOTYPE OF DMD WOMEN CARRIERS: CENTRAL NERVOUS SYSTEM IS AFFECTED,"Introduction: Duchenne and Becker muscular dystrophies (DMD/BMD) are X-linked genetic disorders caused by mutations in the DMD gene that target skeletal muscles, heart and central nervous system (CNS). The majority of female carriers of a single allele mutation are considered asymptomatic, but this concept has been challenged recently. Some women indeed present muscular and cardiac symptoms, but no formal evaluation of CNS involvement was carried so far. Objectives: To evaluate the structural and functional CNS status in carrier women. Methods: Fourteen women with a DMD mutation had cognitive function assessed using Addenbrooke - Revised (ACE - R) or Montreal Cognitive Assessment (MoCA) Cognitive Examination. They underwent investigation of structural abnormalities of cerebral gray and white matter using T1-weighted and diffusion tensor images obtained on a 3T MR scanner. An age-matched group of healthy women was used as control for MRI comparisons. Analyses were accomplished using the FreeSurfer software and tract-based spatial statistics (TBSS). Significance was established at p < 0.05. Results: The mean age of recruited women was 37.3 years old (SD = 6.4) and mean education was 8.5 years (SD = 3.6). Mean ACE-R and MOCA scores were 73.7±9.6 and 24.5±2.1, respectively. Seven patients (50%) scored below the expected Brazilian and schooling-adjusted reference levels. The subdomains that exhibited the greatest impairments were attention/orientation, language and visuospatial abilities. Quantitative analysis of the T1w images showed right inferior temporal cortical thinning in carrier women compared to controls. We did not find white matter abnormalities among carriers. Conclusions: Women carrying DMD mutations have cognitive deficits and cerebral structural abnormalities. Temporal regions look particularly vulnerable, but further studies are necessary to characterize the full pattern of brain damage in these patients and their clinical significance.",Doenças Neuromusculares,Aprovado para Apresentação Oral ,STEPHANY DA SILVA PASSOS,"Stephany da Silva Passos / Passos, S.S / UNIVERSIDADE ESTADUAL DE CAMPINAS; Pilar Sílvia Oliveira Tavares / Tavares, P.S.O. / UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP); Letícia Silva Souza / Souza, L.S. / UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP); Thiago Junqueira R. de Rezende / Rezende, T.J.R. / UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP); Anamarli Nucci / Nucci, A. / UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP); Marcondes Cavalcante França Júnior / França Júnior, M.C. / UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP);"
74678,PROPOSING OF A LESS COSTLY STRATEGY FOR MOLECULAR DIAGNOSIS OF CONGENITAL MYASTHENIC SYNDROME IN BRAZIL.,"Congenital Myasthenic Syndrome (CMS) comprises a heterogeneous group of disorders in which the safety margin of neuromuscular junction is impaired due to genetic defects. So far, more than 30 different genes have been associated to this entity, what makes the molecular diagnosis sometimes difficult to be done without resorting to new generation sequencing (NGS). Such technology, although its cost has dropped considerably, is not yet widely available, especially in developing countries. Nevertheless, some specific pathogenic variants are notably common in particular regions, and one CHRNE variant was shown to be highly prevalent in Brazil. Objective: 1) to verify if variants that are common in other regions account for a significantly proportion of CMS causative genes in Brazilian population, 2) to propose a cost-effective strategy to make molecular diagnosis of CMS in this population. Methods: 60 patients of 51 Brazilian unrelated families with clinical diagnosis of CMS were included. All patients were submitted to Sanger sequencing of appropriate coding regions where the following common variants are located: c.130dupG on CHRNE; c.1327delG on CHRNE; c.1124_1127dupTGCC on DOK7; and c.264C>A (better known as p.N88K) on RAPSN. After this first step, patients were submitted to whole exome sequencing. Results: from 51 index cases, 17 harbored the CHRNE c.130dupG, with 14 in homozygosis; 3 harbored the RAPSN c.264C>A, 2 in homozygosis; 2 harbored the DOK7 c.1124_1127dupTGCC, 1 in homozygosis; none harbored the CHRNE c.1327delG. The first screening was able to find a pathogenic variant in 43% of the patients. Beside the common variants, other pathogenic variants were detected in the following genes: CHRNE (n=4); DOK7 (n=1); CHAT (n=1) COLQ (n=1); CHRNA1 (n=1); COL13A1 (n=2); SCN4A (n=3). In the end, 5 patients were diagnosed as not CMS: 4 patients were disclosed as complex genetic syndromes and one as myofibrilar myopathy. Eleven index cases remained undiagnosed. Conclusion: the variants c.130dupG (CHRNE), c.1124_1127dupTGCC (DOK7) and c.264C>A (RAPSN) are significantly present among CMS Brazilian cohort. Performing low-cost technique as RFLP-PCR to testing these variants in patients with compatible clinical presentation can be worthwhile, as up to 43% of cases are possible to be genetically solved. Even when NGS is available, this screening could be done before NGS, in order to perform a cost-effective diagnostic strategy.",Doenças Neuromusculares,Aprovado para Apresentação Oral ,EDUARDO DE PAULA ESTEPHAN,"Eduardo de Paula Estephan / Estephan, EP / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP); Vitor Marques Caldas / Caldas, VM / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP); Antonio Alberto Zambon / Zambon, AA / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP); Paulo Eurípedes Marchiori / Marchiori, PE / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP); André Macedo Serafim da Silva / Silva, AMS / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP); Rodrigo Holanda Mendonça / Mendonça, RH / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP); Ana Töpf / Töpf, A / Institute of Genetic Medicine - Newcastle University; Umbertina Conti Reed / Reed, UC / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP); Hanns Lochmüller / Lochmüller, H / Department of Neuropediatrics and Muscle Disorders - University of Freiburg; Edmar Zanoteli / Zanoteli, E / Departamento de Neurologia, Faculdade de Medicina da Universidade de São Paulo (FMUSP);"
75270,ASSOCIATION OF HIPPOCAMPAL CA3 TRANSCRIPTIONAL MODULES WITH MEMORY AND LANGUAGE IMPAIRMENT IN MESIAL TEMPORAL LOBE EPILEPSY,"Introduction: MTS patients present verbal and non-verbal memory and semantic fluency deficits, as well as language impairment on confrontation naming and verbal fluency. Gene expression in the hippocampus has not been evaluated regarding language impairment in MTS. Objective: To identify hippocampal CA3 transcriptional modules related to language and memory impairment in mesial temporal sclerosis (MTS) patients. Design/Methods: Forty-one patients with unilateral left MTS and 20 healthy controls, aged 18-55 years, IQ>70, without comorbidities, underwent a language and memory battery, including, verbal and non-verbal memory, semantic and phonetical fluency, object, proper noun and responsive naming tests. We established cut-offs scores using Receiver Operating Curve (ROC) analysis, comparing patients and controls performances to yield best sensitivity and specificity. We classified patients as normal or impaired, and generated cognitive impairment scores. RNA was extracted from fifteen histopathologically confirmed hippocampal CA3 specimens obtained during amygdalohippocampectomy. We used 44k DNA microarrays to obtain transcriptome profiles, and Weighted Gene Co-expression Networks Analysis (WGCNA) package for complex network analysis, based on Gene Ontology annotated genes. Cognitive performance was correlated with transcriptional network modules, controlling for confounders (antiepileptic drug load, topiramate use, febrile seizure history and lesion side). Results: Groups did not differ in age, gender and education. Patients showed decreased scores in a number of cognitive tests, compared to controls. Impaired object naming was associated with altered gene expression in synaptogenesis, worse overall language performance with differential gene expression in neuron excitability, worst overall performance in verbal memory tests with differential expression of genes related to neuronal excitability and glutamate metabolism, moderate non-verbal memory impairment (four out of five altered tests) exhibited altered expression patterns of genes involved in glutamate metabolism and neuronal apoptosis signaling. Conclusions: We found an association between CA3 transcriptional signatures and clinical patterns of language and memory impairment. A better understanding of cellular mechanisms associated with language impairment may contribute to elucidate the role of the hippocampus in language and semantic memory in MTS patients.",Epilepsia,Aprovado para Apresentação Oral ,JOÃO GABRIEL MANSANO DE OLIVEIRA,"João Gabriel Mansano de Oliveira / Mansano-Oliveira, JG / FACULDADE DE MEDICINA DA USP; Silvia Yumi Bando / Bando, S / FACULDADE DE MEDICINA DA USP; Fernanda Bertonha / Bertonha, F / FACULDADE DE MEDICINA DA USP; Christiane Messas / Messas, C / FACULDADE DE MEDICINA DA USP; Betina Castro / Castro, B / FACULDADE DE MEDICINA DA USP; Carlos Moreira / Moreira, C / FACULDADE DE MEDICINA DA USP; Luiz Henrique Martins Castro / Castro, LH / FACULDADE DE MEDICINA DA USP;"
74012,BDNF SERUM LEVELS RELATED TO PHARMACO-RESISTANCE IN TEMPORAL LOBE EPILEPSY,"Introduction: Brain-derived neurotrophic factor (BDNF) is a pro-epileptogenic neurotrophin widely distributed in central nervous system. The BDNF is mainly concentrated in the hippocampus and entorhinal cortex, areas involved in temporal lobe epilepsy with hippocampal sclerosis (TLE -HS) epileptogenesis. Methods: We included 148 TLE-HS patients (ILAE criteria and signs of HS in MRI) aged between 22 and 68 years-old. Patients with suspicion of non-epileptic events were not included. All patients were under antiepileptic drug treatment. The individuals had MRI and blood samples collection at the same day. Blood serum levels of BDNF were measured by enzyme-linked immunosorbent assay (ELISA). Patients were divided into two groups according to pharmacoresistance: I. FREQ: (n=91): patients with at least 3 seizures with impaired awareness or one bilateral tonic-clonic seizure in 6 months ; II. INFREQ: (n=57) patients with less than 2 seizures with impaired awareness in 6 months. Furthermore, we evaluated if patient presented seizures in the last month before the blood collection. Results: The groups were similar according gender and age. The group with frequent seizures (FREQ) presented higher BDNF serum levels than the infrequent seizures group (INFREQ)(p=0.003). There was no difference in BDNF serum levels between patients with or without seizures in the last month before blood collection. Discussion: In vitro analysis have already suggested that seizures can be related with higher levels of BDNF in hippocampus. However, our study demonstrated that blood serum BDNF is not related to recent seizures, but probably with the pathogenic process of repeated seizures and pharmacoresistance.",Epilepsia,Aprovado para Apresentação Oral ,MARINA KOUTSODONTIS MACHADO ALVIM,"Marina Koutsodontis Machado Alvim / Alvim MKM / UNICAMP; Marina Koutsodontis Machado Alvim / Alvim MKM / UNICAMP; Clarissa Lin Yasuda / Yasuda CL / UNICAMP; Marcia Elisabete Morita / Morita ME / UNICAMP; Ana Carolina Coan / Coan AC / UNICAMP; Renata Barbosa / Barbosa R, / UNICAMP; Luciana Ramalho / Ramalho L / UNICAMP; Natalia P Rocha / Rocha NP / UFMG; Érica Leandro Marciano Vieira / Vieira ELM / UFMG; Iscia Lopes-Cendes / Lopes-Cendes I / UNICAMP;"
74785,EVALUATION OF INDIVIDUAL PATTERNS OF FUNCTIONAL AND STRUCTURAL NEURAL NETWORKS IN PATIENTS WITH FOCAL PHARMACORESISTANT EPILEPSY,"Introduction: Epilepsies are conditions of functionally and anatomically connected networks, which may explain ictal and interictal phenomena. Aim: To investigate the distribution and overlap of individual functional and structural networks in patients with focal pharmacoresistant epilepsy. Methods: We analyzed 25 patients (18-56 years, 52% male) with pharmacoresistant focal epilepsies followed at a tertiary epilepsy center and submitted to concomitant EEG and functional MRI (EEG-fMRI). All had the epileptogenic zone (EZ) defined according to extensive pre-surgical evaluation. Patients underwent EEG-fMRI in a 3T MRI, with acquisition of eco-planar and T1-weighted images. EEG was acquired using 64 MRI-compatible electrodes. Individual interictal epileptiform discharges (IEDs) were visually identified in the EEG and used to define blood oxygen level depended (BOLD) changes (p<0.001, minimum of 20 contiguous voxels) The evaluation of the individual structural brain changes looking for gray matter (GM) atrophy was performed with voxel based morphometry analysis. T1-weighted volumetric images of 150 healthy subjects (19-69 years, 41% male) were used as control and compared to the image of each patient (two-sample t-tests, p<0.001, minimum of 20 contiguous voxels). We evaluated the co-localization of structural and functional abnormalities through the co-registration of maps of each patient. Results: The evaluation of individual structural abnormalities demonstrated GM atrophy ipsilateral to the EZ in frontal (64% of patients), temporal (56%) and parietal lobe (44%) and contralateral to the EZ in frontal lobe (44%). Regarding functional abnormalities, IED-related BOLD was observed ipsilateral to the EZ in frontal (88%), temporal (72%) and parietal lobe (68%) and contralateral to the EZ in frontal lobe (64%). The co-registration of individual maps showed that 40% (10/25) of patients had overlap of the functional and structural abnormalities; however, in average, only 1.07% of the individual areas of the structural abnormalities had an overlap with the functional abnormalities). Conclusion: The present work showed no significant overlap of the GM atrophy and the interictal-related functional changes in patients with pharmacoresistant focal epilepsies. This data demonstrates distinct individual functional and structural networks what corroborates the complex interactions of these networks in focal epilepsies.",Epilepsia,Aprovado para Apresentação Oral ,REBECA MARIA GONÇALVES,"Rebeca Maria Gonçalves / Gonçalves, R.M. / Department of Neurology, Neuroimaging Laboratory, University of Campinas, Campinas, São Paulo, Brazil.; Rebeca Maria Gonçalves / Gonçalves, R.M. / Department of Neurology, Neuroimaging Laboratory, University of Campinas, Campinas, São Paulo, Brazil.; Brunno Machado de Campos / Campos, B.M. / Department of Neurology, Neuroimaging Laboratory, University of Campinas, Campinas, São Paulo, Brazil.; Fernando Cendes / Cendes, F. / Department of Neurology, Neuroimaging Laboratory, University of Campinas, Campinas, São Paulo, Brazil.; Ana Carolina Coan / Coan, A.C. / Department of Neurology, Neuroimaging Laboratory, University of Campinas, Campinas, São Paulo, Brazil.;"
